"headline","countries","cities"
"Salt Lake City tests new cure for Respiratory Syncytial Virus","Spain","Salt"
"Zika San Antonio Patient Speaks Out","Chile","San Antonio"
"Ebola outbreak in Kampala","Uganda","Kampala"
"Precautionary Zika measures in Rockhampton","Australia","Rockhampton"
"Zika arrives in Tegucigalpa","Honduras","Tegucigalpa"
"New Zika Case Confirmed in Belo Horizonte","Brazil","Belo Horizonte"
"Case of Hepatitis E Reported in Melbourne","Australia","Melbourne"
"First Columbus Zika case","United States","Columbus"
"New medicine wipes out Tuberculosis in Taipei","Taiwan","Taipei"
"Zika Patient in Seminole, Florida","United States","Seminole"
"Antipolo under threat from Zika Virus","Philippines","Antipolo"
"Spreading Zika reaches Bacoor","Philippines","Bacoor"
"Can Zika make it here to Vero Beach?","United States","Vero Beach"
"Zika afflicts patient in Calamba","Philippines","Calamba"
"Hollywood Outbreak Film Premieres","United States","Hollywood"
"Petaling Jaya man ill from Zika","Malaysia","Petaling Jaya"
"Malaria is Spreading in Johannesburg","South Africa","Johannesburg"
"Authorities are Worried about the Spread of Norovirus in Buenos Aires","Argentina","Buenos Aires"
"Guangzhou Patient in Critical Condition after Contracting Swine Flu","China","Guangzhou"
"Doral hit by Deadly Virus","United States","Doral"
"Tokyo Encounters Severe Symptoms of Meningitis","Japan","Tokyo"
"Rabies Exposure in Hamilton","Bermuda","Hamilton"
"Authorities are Worried about the Spread of Influenza in Savannah","United States","Savannah"
"Zika Outbreak in Hyderabad","India","Hyderabad"
"Birmingham Residents Recieve Rabies vaccine","United Kingdom","Birmingham"
"Is Zika virus in Majuro?","Marshall Islands","Majuro"
"HIV has Arrived in Fairfax","United States","Fairfax"
"Spanish Flu Outbreak in Barcelona","Spain","Barcelona"
"Santa Barbara tests new cure for Hepatitis C","Philippines","Santa Barbara"
"Spring break ruined by Zika in Fort Lauderdale","United States","Spring"
"Villavicencio under Zika threat","Colombia","Villavicencio"
"Two more Zika cases confirmed in Laredo","Peru","Laredo"
"New Delhi Addressing Zika Concerns","India","New Delhi"
"New Zika Case in Kota Kinabalu, Malaysia","India","Kota"
"New medicine wipes out West Nile Virus in Ventura","United States","Ventura"
"Meningitis re-emerges in Nassau","Bahamas","Nassau"
"Zika reaches Johor Bahru, Malaysia","Malaysia","Johor Bahru"
"Nha Trang Zika Outbreak","Vietnam","Nha Trang"
"First Zika Case in Cincinnati","United States","Cincinnati"
"Molo Cholera Spread Causing Concern","Kenya","Molo"
"Norovirus Exposure in Hong Kong","Hong Kong","Hong Kong"
"19 new Zika Cases in Sengkang","Indonesia","Sengkang"
"Zika cases concern Charlotte residents","United States","Charlotte"
"Batangas Tourism Takes a Hit as Virus Spreads","Philippines","Batangas"
"Johannesburg Patient in Critical Condition after Contracting Pneumonia","South Africa","Johannesburg"
"Outbreak of Zika in Bacolod City","Philippines","Bacolod City"
"Respiratory Syncytial Virus Keeps Spreading in Masaya","Nicaragua","Masaya"
"Spike of Pneumonia Cases in Springfield","United States","Springfield"
"Zika case reported in Jupiter","United States","Jupiter"
"Zika virus confirmed in Westchester","United States","Westchester"
"Authorities are Worried about the Spread of Tuberculosis in Abuja","Nigeria","Abuja"
"Rumors about Hepatitis D Spreading in San Juan Capistrano have been Refuted","Argentina","San Juan"
"The Spread of Measles in Spokane has been Confirmed","United States","Spokane"
"Zika alert for Rio Grande Valley residents","Brazil","Rio Grande"
"Zika symptoms spotted in Colombo","Brazil","Colombo"
"West Nile Virus Outbreak in Louisville","United States","Louisville"
"New details in Baton Rouge cop killings","United States","Baton Rouge"
"Hepatitis B has not Left Florence","Italy","Florence"
"More Zika patients reported in Pensacola","United States","Pensacola"
"Outbreak of Zika in Corpus Christi","United States","Corpus Christi"
"How to Avoid Rhinovirus in Lemon Grove","United States","Lemon Grove"
"Rumors about Rotavirus spreading in Huntsville have been refuted","Canada","Huntsville"
"Rhinovirus has Arrived in Athens","Greece","Athens"
"Outbreak of Zika in Panama City","United States","Panama City"
"Measles has not Left Brooklyn","United States","Brooklyn"
"Escondido neighborhood to get sprayed for Zika virus","United States","Escondido"
"Zika in Belmont, Belmont worry","United States","Belmont"
"Influenza has not Left Sacramento","Brazil","Sacramento"
"Veracruz hit by Zika Concerns","Mexico","Veracruz"
"Case of Mumps Reported in Dayton","United States","Dayton"
"Authorities are Worried about the Spread of Dengue in Kingston","Canada","Kingston"
"Gainesville Deals with Disease Concerns","United States","Gainesville"
"Montevideo Encounters Severe Symptoms of Rotavirus","Uruguay","Montevideo"
"Varicella Keeps Spreading in Detroit","United States","Detroit"
"Zika cases in Singapore reach 393","Singapore","Singapore"
"Manhattan Residents Recieve HIV vaccine","United States","Manhattan"
"Zika arrives in Miri","Malaysia","Miri"
"Rumors about Dengue Spreading in Syracuse have been Refuted","United States","Syracuse"
"Will Norovirus vaccine help Raleigh?","United States","Raleigh"
"Lower Hospitalization in Auckland after Hepatitis D Vaccine becomes Mandatory","New Zealand","Auckland"
"How to Avoid Gonorrhea in Shreveport","United States","Shreveport"
"Ithaca is infested with Dengue","United States","Ithaca"
"Will MCD vaccine help Strasbourg?","France","Strasbourg"
"New medicine wipes out Measles in Fresno","Colombia","Fresno"
"BREAKING – Zika in Missoula","United States","Missoula"
"Zika arrives in Santos","Brazil","Santos"
"Sick Livestock Leads to Serious Trouble for Belfort","France","Belfort"
"Hepatitis E has not Left Libreville","Gabon","Libreville"
"New medicine wipes out Chikungunya in Tucson","United States","Tucson"
"Norovirus has Arrived in Winnipeg","Canada","Winnipeg"
"Hepatitis B Comes to Kansas City","United States","Kansas City"
"More Patients in Cambridge are Getting Diagnosed with Chickenpox","Canada","Cambridge"
"Chikungunya Exposure in Toledo","Brazil","Toledo"
"Is Lafayette prepared to combat Zika?","United States","Lafayette"
"Mecca tests new cure for Chikungunya","Saudi Arabia","Mecca"
"Zika arrives in San Benito","Guatemala","San Benito"
"Syphilis Outbreak in Harrisburg","United States","Harrisburg"
"Zika Arrives in North Miami","United States","North Miami"
"Urbana Encounters Severe Symptoms of Meningitis","United States","Urbana"
"Pittsburgh Residents Recieve Norovirus vaccine","United States","Pittsburgh"
"Chikungunya Hits Denver","United States","Denver"
"Zika case recorded in Tunapuna »","Trinidad and Tobago","Tunapuna"
"Spike of Respiratory Syncytial Virus Cases in Mandalay","Myanmar","Mandalay"
"HIV Keeps Spreading in Boulder","United States","Boulder"
"Will Tuberculosis vaccine help Rockville?","United States","Rockville"
"Mad Cow Disease Re-emerges in Chatham","Canada","Chatham"
"Zika Virus Arrives in Ontario","United States","Ontario"
"Mad Cow Disease Hits Naples","Italy","Naples"
"More Zika patients reported in Davao","Philippines","Davao"
"The Spread of Chikungunya in Arcadia has been Confirmed","United States","Arcadia"
"Oxford tests new cure for HIV","United Kingdom","Oxford"
"Outbreak of Zika in Stephenville","United States","Stephenville"
"Providence Encounters Severe Symptoms of Dengue","United States","Providence"
"Tests negative on Windsor Zika carriers","Canada","Windsor"
"Zika battle outlined at Valdosta meeting","United States","Valdosta"
"Zika case reported in Coral Gables","United States","Coral Gables"
"Hepatitis C Outbreak in Danbury","United States","Danbury"
"Chickenpox has Arrived in Chula Vista","United States","Chula Vista"
"Syphilis Hits Jefferson","United States","Jefferson"
"Will HIV vaccine help Las Vegas?","United States","Las Vegas"
"Zika arrives in West Palm Beach","United States","West Palm Beach"
"Mobile authorities confirmed the spread of Bronchitis","United States","Mobile"
"Zika spreads to Daytona Beach","United States","Daytona Beach"
"Lausanne Residents Recieve Meningitis vaccine","Switzerland","Lausanne"
"Rhinovirus Comes to San Jose","Mali","San"
"Spike of Chlamydia Cases in Farmington","United States","Farmington"
"Authorities are Worried about the Spread of Rotavirus in Union","United States","Union"
"Rumors about Hepatitis D spreading in Albany have been refuted","Australia","Albany"
"Zika symptoms spotted in Bello","Colombia","Bello"
"Will Meningitis vaccine help Hamburg?","Germany","Hamburg"
"Madera Patient in Critical Condition after Contracting Rabies","Mexico","Madera"
"Zika Virus Detected in Lubbock","United States","Lubbock"
"Malaria re-emerges in Boise","United States","Boise"
"Varicella re-emerges in Lagos","Nigeria","Lagos"
"Vericella spreading in Ibadan","Nigeria","Ibadan"
"Schools in Birmingham Closed Due to Measles Outbreak","United Kingdom","Birmingham"
"How to Avoid Hepatitis B in Waldorf","United States","Waldorf"
"Tuberculosis Outbreak in Newark","United States","Newark"
"Zika Virus Sparks 'International Concern'","United States","Sparks"
"Spike of Chlamydia Cases in Berlin","Germany","Berlin"
"Zika-carrying mosquitoes discovered in Ardmore","United States","Ardmore"
"Zika Mosquitoes May Have Bred in Bromeliads, Florida Officials Say","Colombia","Florida"
"More Livestock in Fontainebleau are infected with Mad Cow Disease","France","Fontainebleau"
"Frisco Woman Tests Positive For Zika Virus","United States","Frisco"
"Authorities are Worried about the Spread of Norovirus in Dubai","United Arab Emirates","Dubai"
"Benton Residents Recieve Pneumonia vaccine","United States","Benton"
"Case of Hepatitis A Reported in Calgary","Canada","Calgary"
"Zika Outbreak in Pinewood","United States","Pinewood"
"Will Swine Flu vaccine help Ljubljana?","Slovenia","Ljubljana"
"Bronchitis re-emerges in Tehran","Iran","Tehran"
"Mad Cow case in Murcia","Spain","Murcia"
"Mad Cow Disease Spreads to Margate","United Kingdom","Margate"
"Zika Strikes St. Petersburg","United States","St. Petersburg"
"Will the Mad Cow Outbreak Reach Vienna?","Austria","Vienna"
"More Patients in Orange are Getting Diagnosed with Chickenpox","Australia","Orange"
"Lower Hospitalization in Richmond after Mumps Vaccine becomes Mandatory","Australia","Richmond"
"Meningitis re-emerges in Medina","Mexico","Medina"
"Four cases of Zika in Hidalgo County","Mexico","Hidalgo"
"Zika symptoms spotted in Hollywood","United States","Hollywood"
"Zika arrives in Oaxaca","Mexico","Oaxaca"
"More people in Durham are infected with Chlamydia every year","United Kingdom","Durham"
"Authorities are Worried about the Spread of Gonorrhea in Taoyuan City","Taiwan","Taoyuan City"
"Swine Flu re-emerges in La Jolla","United States","La Jolla"
"Tuberculosis Outbreak in Hartford","United States","Hartford"
"Rumors about Mumps Spreading in New Bedford have been Refuted","United States","New Bedford"
"Respiratory Syncytial Virus Vaccine is now Required in Tulsa","United States","Tulsa"
"More people in Indianapolis are infected with Norovirus every year","United States","Indianapolis"
"Lower Hospitalization in Dhaka after Measles Vaccine becomes Mandatory","Bangladesh","Dhaka"
"Albany Residents Recieve Respiratory Syncytial Virus vaccine","Australia","Albany"
"Rotavirus Vaccine is now Required in Starkville","United States","Starkville"
"More people in Nadi are infected with HIV every year","Fiji","Nadi"
"Tocumen tests new cure for Hepatitis A","Panama","Tocumen"
"Phnom Penh hit by Zika Threat","Cambodia","Phnom Penh"
"Zika Troubles come to Harlingen","Netherlands","Harlingen"
"Zika spreads to Barranquilla","Colombia","Barranquilla"
"Milwaukee authorities confirmed the spread of Rhinovirus","United States","Milwaukee"
"Mad Cow Disease Hits Rotterdam","Netherlands","Rotterdam"
"Zika symptoms spotted in Arlington","United States","Arlington"
"West Nile Virus Hits Yogyakarta","Indonesia","Yogyakarta"
"More Patients in Dublin are Getting Diagnosed with Bronchitis","Ireland","Dublin"
"Rumors about Tuberculosis Spreading in Baud have been Refuted","India","Baud"
"Rumors about West Nile Virus Spreading in Salem have been Refuted","India","Salem"
"St. Catharines Patient in Critical Condition after Contracting Dengue","Canada","St. Catharines"
"Outbreak of Zika in Pasig City","Philippines","Pasig City"
"Zika Troubles come to Kampong Cham","Cambodia","Kampong Cham"
"Zika case reported in Rizal","Philippines","Rizal"
"Zika Spreads to Palm Beach Gardens","Australia","Palm Beach"
"More people in Saint Petersburg are infected with Varicella every year","Russia","Saint Petersburg"
"Spike of Herpes Cases in Meriden","United States","Meriden"
"Zika case reported in Abilene","United States","Abilene"
"Outbreak of Zika in Palm Springs","United States","Palm Springs"
"Halifax is infested with Swine Flu","Canada","Halifax"
"Zika arrives in Natal","Brazil","Natal"
"Herpes Keeps Spreading in Rochester","United Kingdom","Rochester"
"Zika case reported in Phetchabun","Thailand","Phetchabun"
"How to Avoid Pneumonia in Bullhead City","United States","Bullhead City"
"West Nile Virus re-emerges in Wellington","United Kingdom","Wellington"
"Rumors about Pneumonia spreading in Ottawa have been refuted","Canada","Ottawa"
"Meningitis re-emerges in Summerville","United States","Summerville"
"Pneumonia Symptoms Spread all over Bloomington","United States","Bloomington"
"More Patients in Stuttgart are Getting Diagnosed with Rabies","Germany","Stuttgart"
"Schools in Glasgow Closed Due to Hepatitis B Outbreak","United Kingdom","Glasgow"
"Phoenix Residents Recieve Syphilis vaccine","United States","Phoenix"
"Spanish flu spreading in Madrid","Colombia","Madrid"
"Rabies Hits Madrid","Colombia","Madrid"
"Zika Outbreak in Weslaco","United States","Weslaco"
"How to Avoid Chlamydia in Santiago","Brazil","Santiago"
"Rotavirus Vaccine is now Required in Las Cumbres","Panama","Las Cumbres"
"Mumps Symptoms Spread all over Jefferson","United States","Jefferson"
"Mad Cow Outbreak Spreading in Ennis","Ireland","Ennis"
"Southampton Patient in Critical Condition after Contracting Tuberculosis","United Kingdom","Southampton"
"The Spread of Rhinovirus in Boardman has been Confirmed","United States","Boardman"
"Richland Center is infested with Hepatitis B","United States","Richland"
"Authorities are Worried about the Spread of Chickenpox in Richmond","Australia","Richmond"
"Chikungunya re-emerges in Kobe","Japan","Kobe"
"Malaria Vaccine is now Required in Schenectady","United States","Schenectady"
"Hepatitis D has Arrived in Grenoble","France","Grenoble"
"West Nile Virus Symptoms Spread all over Yerevan","Armenia","Yerevan"
"Zika Outbreak in Sincelejo","Colombia","Sincelejo"
"Rumors about HIV spreading in Montpellier have been refuted","France","Montpellier"
"Praia tests new cure for Pneumonia","Cabo Verde","Praia"
"Lower Hospitalization in Lakewood after Hepatitis B Vaccine becomes Mandatory","United States","Lakewood"
"Zika spreads to Kuching","Malaysia","Kuching"
"Spike of Rotavirus Cases in Omaha","United States","Omaha"
"Tuberculosis re-emerges in Silver Springs","South Africa","Springs"
"Will West Nile Virus vaccine help Coronado?","United States","Coronado"
"Zika case confirmed in Lorain","United States","Lorain"
"Chickenpox Hits Simpsonville","United States","Simpsonville"
"Framingham Residents Receive Measles vaccine","United States","Framingham"
"Rumors about Mad Cow Disease Brighton have been Refuted","Australia","Brighton"
"Zika case reported in Jacobina","Brazil","Jacobina"
"Bridgeport authorities confirmed the spread of West Nile Virus","United States","Bridgeport"
"Measles Vaccine is now Required in Wailuku","United States","Wailuku"
"More contaminated cattle reported in Bedford","United Kingdom","Bedford"
"Zika in Tamarac!","United States","Tamarac"
"Will Measles vaccine help Milford?","United States","Milford"
"Spike of Norovirus Cases in Huddersfield","United Kingdom","Huddersfield"
"Rhinovirus Hits Bakersfield","United States","Bakersfield"
"Lower Hospitalization in Papeete after Measles Vaccine becomes Mandatory","French Polynesia","Papeete"
"Zika arrives in Udon Thani","Thailand","Udon Thani"
"Spike of Dengue Cases in Stockholm","Sweden","Stockholm"
"More people in Berkeley are infected with Swine Flu every year","United States","Berkeley"
"Zika only the latest mosquito-borne threat to New Orleans","United States","New Orleans"
"Will Swine Flu vaccine help Annapolis?","United States","Annapolis"
"Lower Hospitalization in Monroe after Hepatitis D Vaccine becomes Mandatory","United States","Monroe"
"New medicine wipes out Dengue in Saginaw","United States","Saginaw"
"Spike of Rhinovirus Cases in Sevierville","United States","Sevierville"
"Duisburg up in Arms over Mad Cow Disease","Germany","Duisburg"
"New medicine wipes out Mumps in Saint Charles","United States","Saint Charles"
"Case of Chikungunya Reported in Gaithersburg","United States","Gaithersburg"
"How to Avoid Respiratory Syncytial Virus in San Bernardino","Mali","San"
"Laventille authorities confirmed the spread of Rhinovirus","Trinidad and Tobago","Laventille"
"More Zika patients reported in Waco","United States","Waco"
"Will Herpes vaccine help Newcastle?","Australia","Newcastle"
"Erie County sets Zika traps","United States","Erie"
"How to Avoid Norovirus in Greenville","Liberia","Greenville"
"More Zika patients reported in Calumpang","Philippines","Calumpang"
"Zika symptoms spotted in Quisqueya","Dominican Republic","Quisqueya"
"Zika symptoms spotted in Fortaleza","Brazil","Fortaleza"
"Rumors about Bronchitis spreading in Bundaberg have been refuted","Australia","Bundaberg"
"Hepatitis A re-emerges in Stamford","United Kingdom","Stamford"
"Schools in Huntington Closed Due to Rotavirus Outbreak","United States","Huntington"
"Will Mad Cow Vaccine Help Bristol?","United Kingdom","Bristol"
"Chickenpox Comes to Stillwater","United States","Stillwater"
"The Spread of Meningitis in Imperial has been Confirmed","Peru","Imperial"
"Case of Measles Reported in Springdale","United States","Springdale"
"Norwalk Encounters Severe Symptoms of Malaria","United States","Norwalk"
"Zika arrives in Orange City","Australia","Orange"
"Pilsen Encounters Severe Symptoms of Malaria","Czechia","Pilsen"
"Will Hepatitis B vaccine help La Paz?","Argentina","La Paz"
"Zika Outbreak in Puducherry","India","Puducherry"
"More Zika patients reported in Carrollton","United States","Carrollton"
"Will Rabies vaccine help Tangier?","Morocco","Tangier"
"Zika symptoms spotted in Iquitos","Peru","Iquitos"
"West Nile Virus Exposure in Racine","United States","Racine"
"The Spread of Hepatitis E in Lansing has been Confirmed","United States","Lansing"
"West Nile Virus Exposure in Alpharetta","United States","Alpharetta"
"Pedro Juan Caballero Encounters Severe Symptoms of Pneumonia","Paraguay","Pedro Juan Caballero"
"More Zika patients reported in Melbourne","Australia","Melbourne"
"Zika Troubles come to La Libertad","Ecuador","La Libertad"
"Herpes Vaccine is now Required in Mattoon","United States","Mattoon"
"Kent is infested with Rabies","United States","Kent"
"Zika symptoms spotted in Bonita Springs","United States","Bonita Springs"
"The Spread of Malaria in Brazzaville has been Confirmed","Republic of the Congo","Brazzaville"
"More Zika patients reported in Fort Myers","United States","Fort Myers"
"Zika spreads to Lewisville","United States","Lewisville"
"Ogden is infested with Gonorrhea","United States","Ogden"
"Fort Hood Reports its First Zika Patient","United States","Fort Hood"
"Huzhou Residents Receive Hepatitis B vaccine","China","Huzhou"
"New medicine wipes out Rabies in Newburgh","United States","Newburgh"
"Iowa City Encounters Severe Symptoms of Rhinovirus","United States","Iowa City"
"Spike of Rabies Cases in Managua","Nicaragua","Managua"
"Outbreak of Zika in Santa Elena","Argentina","Santa Elena"
"Mumps Hits Howard Beach","United States","Howard Beach"
"The Spread of Gonorrhea in Reno has been Confirmed","United States","Reno"
"How to Avoid Rhinovirus in Plainfield","United States","Plainfield"
"Rumors about Varicella spreading in Carlsbad have been refuted","United States","Carlsbad"
"Scranton authorities confirmed the spread of Gonorrhea","United States","Scranton"
"Mad Cow Disease Disastrous to Brussels","Belgium","Brussels"
"Zika spreads to Olinda","Brazil","Olinda"
"Hallandale Beach a Victim of Zika Outbreak","United States","Hallandale Beach"
"Rhinovirus re-emerges in Storrs","United States","Storrs"
"Germantown authorities confirmed the spread of Chickenpox","United States","Germantown"
"Rumors about Rotavirus spreading in North Platte have been refuted","United States","North Platte"
"Spike of Hepatitis C Cases in Golden","United States","Golden"
"Authorities are Worried about the Spread of Hepatitis D in Ganja","Azerbaijan","Ganja"
"Dengue Exposure in Kathmandu","Nepal","Kathmandu"
"Tuberculosis has Arrived in Fairfield","Australia","Fairfield"
"Outbreak of Zika in Kozhikode","India","Kozhikode"
"Bronchitis Symptoms Spread all over Santa Fe","Argentina","Santa Fe"
"More Patients in Alexandria are Getting Diagnosed with Mumps","Egypt","Alexandria"
"Pneumonia Exposure in Alhambra","United States","Alhambra"
"Hepatitis C re-emerges in Damascus","Syria","Damascus"
"Lower Hospitalization in Pekanbaru after Rotavirus Vaccine becomes Mandatory","Indonesia","Pekanbaru"
"Schools in Bentonville Closed Due to Hepatitis B Outbreak","United States","Bentonville"
"Hepatitis E Hits Hammond","United States","Hammond"
"Schools in Bridgeton Closed Due to Mumps Outbreak","United States","Bridgeton"
"Biloxi Residents Recieve Chlamydia vaccine","United States","Biloxi"
"Case of Mad Cow Disease Reported in Hilden","Germany","Hilden"
"Rumors about Rabies Spreading in Khartoum have been Refuted","Sudan","Khartoum"
"Harare is infested with Pneumonia","Zimbabwe","Harare"
"Zika symptoms spotted in Sibu","Malaysia","Sibu"
"Zika arrives in Quezon","Philippines","Quezon"
"More Patients in Crawfordsville are Getting Diagnosed with Rabies","United States","Crawfordsville"
"Spike of Hepatitis B Cases in Greenville","Liberia","Greenville"
"Authorities are Worried about the Spread of Hepatitis D in Akron","United States","Akron"
"More Zika patients reported in Nuevo Laredo","Mexico","Nuevo Laredo"
"Bronchitis Keeps Spreading in San Mateo","Mali","San"
"Zika arrives in Boca Raton","United States","Boca Raton"
"Bradenton Experiences Zika Troubles  ","United States","Bradenton"
"Chlamydia Symptoms Spread all over University City","United States","University City"
"Wisconsin Rapids Patient in Critical Condition after Contracting Chickenpox","United States","Wisconsin Rapids"
"Zika spreads to Kissimmee","United States","Kissimmee"
"Herpes Symptoms Spread all over Fremont","United States","Fremont"
"Spike of Pneumonia Cases in The Bronx","United States","The Bronx"
"Authorities are Worried about the Spread of Hepatitis D in North Bay","Canada","North Bay"
"The Spread of Herpes in Baku has been Confirmed","Azerbaijan","Baku"
"Will Measles vaccine help Sochi?","Russia","Sochi"
"Tuberculosis Symptoms Spread all over Caguas","Puerto Rico","Caguas"
"HIV has Arrived in Tacoma","United States","Tacoma"
"Malaria re-emerges in Nashua","United States","Nashua"
"Arvada is infested with Syphilis","United States","Arvada"
"Spike of Syphilis Cases in West Monroe","United States","Monroe"
"Deerfield tests new cure for Measles","United States","Deerfield"
"Contaminated Meat Brings Trouble for Bonn Farmers","Germany","Bonn"
"Hepatitis A re-emerges in Foster City","United States","Foster City"
"How to Avoid Tuberculosis in Santa Monica","United States","Santa Monica"
"Zika reported in Fort Pierce","United States","Fort Pierce"
"Authorities are Worried about the Spread of Syphilis in Pyongyang","North Korea","Pyongyang"
"Zika spreads to Winter Park","United States","Winter Park"
"Durango is infested with Hepatitis B","Spain","Durango"
"Hepatitis A has not Left Staten Island","United States","Staten Island"
"Mpika authorities confirmed the spread of Chikungunya","Zambia","Mpika"
"Gladstone Encounters Severe Symptoms of Dengue","Australia","Gladstone"
"Mad Cow Disease Hits London","Canada","London"
"New Milford Patient in Critical Condition after Contracting Respiratory Syncytial Virus","United States","New Milford"
"More people in Palo Alto are infected with HIV every year","Philippines","Palo"
"HIV Symptoms Spread all over Hinthada","Myanmar","Hinthada"
"Zika symptoms spotted in Quito","Ecuador","Quito"
"Vineland authorities confirmed the spread of Chlamydia","United States","Vineland"
"Sulu, Zamboanga brace for Zika","Philippines","Zamboanga"
"Tupelo Residents Recieve Syphilis vaccine","United States","Tupelo"
"Spanish Flu Outbreak in Lisbon","Portugal","Lisbon"
"Spanish Flu Spreading through Madrid","Colombia","Madrid"
"Barcelona Struck by Spanish Flu","Spain","Barcelona"
"Spanish Flu Outbreak in Lisbon","Portugal","Lisbon"
"Spanish Flu Spreading through Madrid","Colombia","Madrid"
"Barcelona Struck by Spanish Flu ","Spain","Barcelona"
"The Spread of Dengue in Yakima has been Confirmed","United States","Yakima"
"Tuberculosis Hits Luanda","Angola","Luanda"
"Will West Nile Virus vaccine help Dumai?","Indonesia","Dumai"
"Rumors about Chlamydia spreading in Redmond have been refuted","United States","Redmond"
"Case of Varicella Reported in Concord","United States","Concord"
"Zika virus case reported in Rockland","United States","Rockland"
"Zika investigators coming to Mankato","United States","Mankato"
